M15             = -6.82218e-22     +/- 5.777e-21    (846.8%)
M25             = 3.66242e-20      +/- 3.954e-20    (108%)
M35             = 3.34203e-21      +/- 8.176e-21    (244.6%)
M45             = 1.06251e-20      +/- 1.745e-20    (164.3%)
M55             = 1.42996e-20      +/- 1.565e-22    (1.095%)
M65             = 3.01044e-20      +/- 1.628e-21    (5.407%)
Q15             = 0.0127059        +/- 0.07343      (577.9%)
Q25             = -0.11057         +/- 0.08753      (79.16%)
Q35             = -0.0149083       +/- 0.08649      (580.1%)
Q45             = -0.012593        +/- 0.0716       (568.5%)
Q55             = -0.179859        +/- 0.008186     (4.551%)
Q65             = -0.171501        +/- 0.003953     (2.305%)
