M11             = 2.69965e-21      +/- 7.579e-24    (0.2807%)
M21             = -4.02978e-20     +/- 6e-22        (1.489%)
M31             = -3.95739e-21     +/- 1.943e-22    (4.909%)
M41             = -1.28386e-20     +/- 4.431e-22    (3.451%)
M51             = -2.65626e-22     +/- 7.927e-23    (29.84%)
M61             = -9.73964e-22     +/- 3.052e-22    (31.34%)
Q11             = -0.0460801       +/- 0.0003195    (0.6934%)
Q21             = 0.134231         +/- 0.007227     (5.384%)
Q31             = 0.00694589       +/- 0.0002795    (4.024%)
Q41             = 0.0435954        +/- 0.001358     (3.114%)
Q51             = 0.000508237      +/- 0.0004392    (86.42%)
Q61             = 0.00643765       +/- 0.002316     (35.98%)
