M11             = 2.80058e-21      +/- 1.028e-22    (3.67%)
M21             = -4.19061e-20     +/- 2.789e-21    (6.656%)
M31             = -4.13217e-21     +/- 3.746e-22    (9.065%)
M41             = -1.33875e-20     +/- 1.059e-21    (7.912%)
M51             = -2.30209e-22     +/- 3.637e-23    (15.8%)
M61             = -8.50003e-22     +/- 1.943e-22    (22.86%)
Q11             = -0.0476611       +/- 0.001231     (2.583%)
Q21             = 0.13676          +/- 0.003302     (2.415%)
Q31             = 0.00676517       +/- 0.0004161    (6.15%)
Q41             = 0.0447021        +/- 0.001731     (3.873%)
Q51             = 0.000259765      +/- 0.000711     (273.7%)
Q61             = 0.00533081       +/- 0.001349     (25.31%)
