M16             = -8.14146e-22     +/- 8.299e-22    (101.9%)
M26             = -5.21159e-21     +/- 1.716e-21    (32.93%)
M36             = -5.97217e-22     +/- 7.78e-23     (13.03%)
M46             = -1.90366e-21     +/- 2.144e-22    (11.26%)
M56             = -4.737e-21       +/- 4.848e-23    (1.023%)
M66             = -1.27501e-20     +/- 2.426e-22    (1.903%)
Q16             = 0.0118588        +/- 0.009903     (83.51%)
Q26             = 0.0150212        +/- 0.009184     (61.14%)
Q36             = -0.000338819     +/- 0.003594     (1061%)
Q46             = 0.00914824       +/- 0.0007187    (7.857%)
Q56             = 0.0489036        +/- 0.001198     (2.45%)
Q66             = 0.0914259        +/- 0.001318     (1.441%)
