M15             = 2.97592e-22      +/- 2.026e-21    (680.7%)
M25             = 1.11413e-20      +/- 1.924e-20    (172.7%)
M35             = 2.01168e-22      +/- 2.563e-21    (1274%)
M45             = 1.73542e-21      +/- 8.827e-21    (508.7%)
M55             = 1.37506e-20      +/- 2.001e-22    (1.455%)
M65             = 3.42569e-20      +/- 1.533e-21    (4.476%)
Q15             = 0.00766867       +/- 0.03782      (493.2%)
Q25             = -0.0405684       +/- 0.06273      (154.6%)
Q35             = 0.00123105       +/- 0.1183       (9611%)
Q45             = 0.012751         +/- 0.09192      (720.9%)
Q55             = -0.177611        +/- 0.006615     (3.724%)
Q65             = -0.276389        +/- 0.0284       (10.28%)
