M12             = 2.79793e-22      +/- 8.195e-23    (29.29%)
M22             = 3.63076e-20      +/- 2.297e-21    (6.326%)
M32             = 1.10323e-21      +/- 5.158e-24    (0.4676%)
M42             = 6.02086e-21      +/- 2.552e-22    (4.239%)
M52             = 4.4271e-23       +/- 1.411e-22    (318.7%)
M62             = 6.64065e-22      +/- 4.149e-22    (62.48%)
Q12             = -0.00474353      +/- 0.001358     (28.62%)
Q22             = -0.154391        +/- 0.002715     (1.759%)
Q32             = -0.0127623       +/- 0.0002396    (1.877%)
Q42             = 0.0359153        +/- 0.002076     (5.781%)
Q52             = 0.00293647       +/- 0.001597     (54.39%)
Q62             = -0.00519529      +/- 0.003194     (61.49%)
