M12             = 1.88948e-22      +/- 4.145e-23    (21.94%)
M22             = 3.70132e-20      +/- 3.589e-21    (9.696%)
M32             = 1.12183e-21      +/- 9.304e-23    (8.293%)
M42             = 6.16252e-21      +/- 5.824e-22    (9.45%)
M52             = 2.65625e-23      +/- 9.529e-23    (358.7%)
M62             = 5.04689e-22      +/- 3.026e-22    (59.96%)
Q12             = -0.00318494      +/- 0.0006857    (21.53%)
Q22             = -0.153193        +/- 0.004896     (3.196%)
Q32             = -0.012175        +/- 0.0003018    (2.479%)
Q42             = 0.0353054        +/- 0.001376     (3.897%)
Q52             = 0.00243953       +/- 0.0008576    (35.15%)
Q62             = -0.00404329      +/- 0.002492     (61.64%)
