M14             = 2.41454e-21      +/- 4.872e-22    (20.18%)
M24             = -9.99194e-20     +/- 2.465e-20    (24.67%)
M34             = -2.5509e-21      +/- 7.098e-22    (27.83%)
M44             = -1.55392e-20     +/- 3.667e-21    (23.6%)
M54             = -8.4115e-22      +/- 4.848e-23    (5.763%)
M64             = -4.38284e-21     +/- 5.243e-22    (11.96%)
Q14             = -0.0415059       +/- 0.007547     (18.18%)
Q24             = 0.393205         +/- 0.04947      (12.58%)
Q34             = 0.0321883        +/- 0.01222      (37.96%)
Q44             = -0.102325        +/- 0.01669      (16.31%)
Q54             = -0.00378353      +/- 0.001238     (32.72%)
Q64             = 0.0311718        +/- 0.0002396    (0.7687%)
