M14             = 3.67573e-21      +/- 1.493e-21    (40.61%)
M24             = 2.01194e-20      +/- 5.577e-20    (277.2%)
M34             = 2.47085e-21      +/- 2.233e-21    (90.39%)
M44             = 1.37329e-20      +/- 1.465e-20    (106.7%)
M54             = -3.63022e-22     +/- 1.952e-22    (53.76%)
M64             = -6.79117e-21     +/- 3.11e-21     (45.79%)
Q14             = -0.075998        +/- 0.01672      (22.01%)
Q24             = -0.351484        +/- 0.4206       (119.7%)
Q34             = 0.0970615        +/- 0.05192      (53.49%)
Q44             = -0.243998        +/- 0.09145      (37.48%)
Q54             = -0.0112602       +/- 0.003809     (33.83%)
Q64             = 0.132932         +/- 0.07298      (54.9%)
