M13             = 2.8307e-21       +/- 1.616e-22    (5.709%)
M23             = 5.99564e-21      +/- 2.515e-23    (0.4195%)
M33             = 4.29961e-21      +/- 1.958e-22    (4.554%)
M43             = 4.6042e-21       +/- 1.926e-22    (4.184%)
M53             = 1.04347e-33      +/- 4.808e-26    (0%)
M63             = -3.54169e-22     +/- 7.072e-23    (19.97%)
Q13             = -0.0481695       +/- 0.002356     (4.891%)
Q23             = -0.00926119      +/- 0.0008785    (9.486%)
Q33             = -0.11537         +/- 0.003075     (2.665%)
Q43             = -0.0157553       +/- 0.0008385    (5.322%)
Q53             = -0.00214589      +/- 0.001358     (63.27%)
Q63             = 0.00372706       +/- 0.0001597    (4.285%)
