M13             = 2.76888e-21      +/- 2.33e-22     (8.415%)
M23             = 5.98818e-21      +/- 5.945e-22    (9.929%)
M33             = 4.28508e-21      +/- 2.923e-22    (6.821%)
M43             = 4.69272e-21      +/- 4.125e-22    (8.79%)
M53             = -1.77084e-23     +/- 6.62e-23     (373.8%)
M63             = -3.18751e-22     +/- 2.019e-22    (63.35%)
Q13             = -0.0468366       +/- 0.003493     (7.459%)
Q23             = -0.0084254       +/- 0.0008913    (10.58%)
Q33             = -0.111913        +/- 0.003684     (3.292%)
Q43             = -0.0172461       +/- 0.001704     (9.881%)
Q53             = -0.00155859      +/- 0.0007775    (49.88%)
Q63             = 0.00313976       +/- 0.001423     (45.31%)
