M11             = 4.45836e-21      +/- 2.443e-21    (54.81%)
M21             = 3.57805e-21      +/- 1.789e-21    (49.99%)
M31             = -1.27748e-21     +/- 1.973e-21    (154.4%)
M41             = 1.45684e-22      +/- 4.61e-22     (316.4%)
M51             = 3.59126e-21      +/- 1.468e-21    (40.87%)
M61             = 7.53064e-23      +/- 1.349e-22    (179.1%)
Q11             = -0.122767        +/- 0.08002      (65.18%)
Q21             = -0.059633        +/- 0.03051      (51.16%)
Q31             = 0.0256377        +/- 0.01717      (66.97%)
Q41             = -0.00101647      +/- 0.003674     (361.4%)
Q51             = -0.0273318       +/- 0.009024     (33.02%)
Q61             = -0.000338824     +/- 0.0003194    (94.28%)
