M11             = 3.98137e-21      +/- 7.32e-22     (18.39%)
M21             = 3.22461e-21      +/- 6.471e-22    (20.07%)
M31             = -6.6867e-22      +/- 1.975e-21    (295.4%)
M41             = 5.47439e-22      +/- 1.527e-22    (27.9%)
M51             = 3.17334e-21      +/- 9.271e-22    (29.21%)
M61             = 2.05127e-22      +/- 3.934e-23    (19.18%)
Q11             = -0.113581        +/- 0.01934      (17.02%)
Q21             = -0.0536093       +/- 0.01047      (19.53%)
Q31             = 0.0189866        +/- 0.007183     (37.83%)
Q41             = -0.00397804      +/- 0.001375     (34.58%)
Q51             = -0.0204047       +/- 0.005008     (24.55%)
Q61             = -0.00139294      +/- 0.0003127    (22.45%)
