M15             = -2.20692e-21     +/- 1.368e-21    (61.98%)
M25             = 2.40525e-21      +/- 8.456e-22    (35.16%)
M35             = -1.03953e-19     +/- 3.825e-20    (36.8%)
M45             = -4.33857e-21     +/- 9.171e-22    (21.14%)
M55             = -1.47866e-20     +/- 6.359e-21    (43%)
M65             = -7.9688e-22      +/- 1.786e-22    (22.41%)
Q15             = 0.0405459        +/- 0.01597      (39.39%)
Q25             = -0.0415059       +/- 0.01346      (32.42%)
Q35             = 0.442956         +/- 0.1053       (23.78%)
Q45             = 0.0282353        +/- 0.001038     (3.677%)
Q55             = -0.126833        +/- 0.01957      (15.43%)
Q65             = -0.00321883      +/- 0.0009184    (28.53%)
