M15             = 2.37904e-21      +/- 1.775e-21    (74.61%)
M25             = 2.57666e-21      +/- 1.437e-21    (55.76%)
M35             = 1.93099e-20      +/- 5.041e-20    (261%)
M45             = -6.99482e-21     +/- 2.667e-21    (38.13%)
M55             = 1.37417e-20      +/- 1.297e-20    (94.42%)
M65             = -4.25001e-22     +/- 1.136e-22    (26.72%)
Q15             = 0.102483         +/- 0.05492      (53.59%)
Q25             = -0.0576338       +/- 0.01543      (26.77%)
Q35             = -0.337943        +/- 0.3927       (116.2%)
Q45             = 0.13178          +/- 0.06803      (51.62%)
Q55             = -0.245918        +/- 0.08909      (36.23%)
Q65             = -0.0107181       +/- 0.005419     (50.56%)
