M12             = -3.56116e-21     +/- 2.894e-22    (8.128%)
M22             = 2.3136e-21       +/- 5.639e-23    (2.437%)
M32             = -3.28402e-20     +/- 1.772e-21    (5.396%)
M42             = -1.19532e-21     +/- 1.352e-22    (11.31%)
M52             = -1.12448e-20     +/- 7.866e-22    (6.995%)
M62             = -2.21355e-22     +/- 2.292e-23    (10.36%)
Q12             = 0.00451765       +/- 0.0006389    (14.14%)
Q22             = -0.0394729       +/- 0.0005989    (1.517%)
Q32             = 0.121299         +/- 0.001118     (0.9216%)
Q42             = 0.00892235       +/- 0.0009583    (10.74%)
Q52             = 0.0502023        +/- 0.003394     (6.761%)
Q62             = -0.00242823      +/- 0.0004392    (18.09%)
