M12             = -3.76622e-21     +/- 4.358e-22    (11.57%)
M22             = 2.51725e-21      +/- 1.396e-22    (5.544%)
M32             = -3.44237e-20     +/- 3.545e-21    (10.3%)
M42             = -1.03594e-21     +/- 2.283e-22    (22.04%)
M52             = -1.18469e-20     +/- 1.272e-21    (10.74%)
M62             = -1.85938e-22     +/- 5.758e-23    (30.97%)
Q12             = 0.00442729       +/- 0.000227     (5.127%)
Q22             = -0.0427482       +/- 0.001878     (4.393%)
Q32             = 0.122744         +/- 0.003922     (3.195%)
Q42             = 0.00713787       +/- 0.001502     (21.04%)
Q52             = 0.0519416        +/- 0.002905     (5.593%)
Q62             = -0.00256376      +/- 0.0001751    (6.828%)
