M14             = -3.5107e-22      +/- 3.555e-22    (101.3%)
M24             = -4.69274e-22     +/- 1.222e-21    (260.4%)
M34             = -5.1505e-21      +/- 5.525e-21    (107.3%)
M44             = -1.23074e-20     +/- 4.164e-22    (3.383%)
M54             = -1.15105e-21     +/- 1.162e-21    (101%)
M64             = -4.73701e-21     +/- 1.473e-22    (3.11%)
Q14             = 0.00434824       +/- 0.004193     (96.42%)
Q24             = 0.0042353        +/- 0.01649      (389.4%)
Q34             = 0.0211765        +/- 0.02336      (110.3%)
Q44             = 0.0918213        +/- 0.001997     (2.174%)
Q54             = -0.00220236      +/- 0.003314     (150.5%)
Q64             = 0.0524613        +/- 0.001477     (2.816%)
