M14             = -2.57391e-22     +/- 5.527e-22    (214.7%)
M24             = -1.33165e-22     +/- 1.776e-21    (1334%)
M34             = -3.4572e-21      +/- 7.356e-21    (212.8%)
M44             = -1.41136e-20     +/- 5.6e-22      (3.968%)
M54             = -7.61459e-22     +/- 1.755e-21    (230.5%)
M64             = -5.33908e-21     +/- 1.877e-22    (3.515%)
Q14             = 0.00425787       +/- 0.005271     (123.8%)
Q24             = -7.90815e-05     +/- 0.02269      (2.87e+04%)
Q34             = 0.0134738        +/- 0.02834      (210.3%)
Q44             = 0.100043         +/- 0.003988     (3.986%)
Q54             = -0.00184094      +/- 0.002123     (115.3%)
Q64             = 0.0562333        +/- 0.001335     (2.373%)
