M13             = 8.82323e-22      +/- 2.209e-22    (25.03%)
M23             = -6.97713e-22     +/- 2.072e-22    (29.7%)
M33             = 3.19071e-20      +/- 3.152e-21    (9.878%)
M43             = 8.85422e-23      +/- 2.106e-22    (237.9%)
M53             = 5.09118e-21      +/- 7.553e-22    (14.84%)
M63             = -8.85422e-23     +/- 7.227e-23    (81.62%)
Q13             = -0.0114635       +/- 0.0008385    (7.315%)
Q23             = 0.0118588        +/- 0.003514     (29.63%)
Q33             = -0.156254        +/- 0.006109     (3.91%)
Q43             = 0.000451765      +/- 0.001677     (371.2%)
Q53             = 0.0364801        +/- 0.002156     (5.911%)
Q63             = 0.00259765       +/- 0.000559     (21.52%)
