M13             = 9.91936e-22      +/- 2.82e-22     (28.43%)
M23             = -5.42231e-22     +/- 2.279e-22    (42.03%)
M33             = 3.39872e-20      +/- 4.182e-21    (12.3%)
M43             = 7.08336e-23      +/- 1.17e-22     (165.2%)
M53             = 5.62242e-21      +/- 9.805e-22    (17.44%)
M63             = -1.0625e-22      +/- 4.011e-23    (37.75%)
Q13             = -0.0103341       +/- 0.001785     (17.27%)
Q23             = 0.00923858       +/- 0.003859     (41.77%)
Q33             = -0.160071        +/- 0.00738      (4.611%)
Q43             = 0.000542117      +/- 0.001009     (186.2%)
Q53             = 0.0351699        +/- 0.001993     (5.666%)
Q63             = 0.00302682       +/- 0.0003565    (11.78%)
