M11             = 2.66534e-20      +/- 1.667e-21    (6.256%)
M21             = 1.00717e-21      +/- 1.962e-22    (19.48%)
M31             = -1.54951e-23     +/- 1.272e-22    (820.7%)
M41             = -1.77084e-22     +/- 2.391e-23    (13.5%)
M51             = -3.54169e-22     +/- 5.986e-23    (16.9%)
M61             = 4.60419e-21      +/- 4.884e-22    (10.61%)
Q11             = -0.117515        +/- 0.001637     (1.393%)
Q21             = -0.0145694       +/- 0.002316     (15.9%)
Q31             = 5.64736e-05      +/- 0.002116     (3747%)
Q41             = 0.00220235       +/- 0.0003594    (16.32%)
Q51             = 0.00468706       +/- 0.0005191    (11.08%)
Q61             = 0.0256377        +/- 0.001837     (7.165%)
