M11             = 2.87753e-20      +/- 2.639e-21    (9.171%)
M21             = 1.02115e-21      +/- 2.938e-22    (28.77%)
M31             = -3.88701e-23     +/- 9.947e-23    (255.9%)
M41             = -1.59376e-22     +/- 9.522e-24    (5.974%)
M51             = -2.65626e-22     +/- 4.097e-23    (15.43%)
M61             = 4.94064e-21      +/- 7.784e-22    (15.75%)
Q11             = -0.124789        +/- 0.003094     (2.48%)
Q21             = -0.0134852       +/- 0.003032     (22.48%)
Q31             = 0.000485649      +/- 0.001671     (344.2%)
Q41             = 0.00220235       +/- 0.0003955    (17.96%)
Q51             = 0.00405458       +/- 0.0003792    (9.352%)
Q61             = 0.0277609        +/- 0.003058     (11.01%)
