M15             = 6.5964e-21       +/- 4.336e-21    (65.73%)
M25             = -9.07558e-23     +/- 5.399e-22    (594.9%)
M35             = -2.58543e-22     +/- 1.083e-21    (419%)
M45             = -4.69274e-21     +/- 4.524e-23    (0.9641%)
M55             = -1.15105e-20     +/- 2.532e-22    (2.2%)
M65             = 9.73965e-22      +/- 1.49e-21     (153%)
Q15             = -0.030833        +/- 0.01278      (41.44%)
Q25             = 0.00864001       +/- 0.002915     (33.74%)
Q35             = -0.000112941     +/- 0.01469      (1.301e+04%)
Q45             = 0.0556236        +/- 0.0003594    (0.6461%)
Q55             = 0.0807531        +/- 0.002396     (2.967%)
Q65             = 0.00508236       +/- 0.005111     (100.6%)
