M15             = 3.3097e-21       +/- 2.573e-21    (77.74%)
M25             = -5.67554e-23     +/- 5.559e-22    (979.5%)
M35             = -4.48021e-23     +/- 1.595e-21    (3560%)
M45             = -5.40106e-21     +/- 2.56e-22     (4.74%)
M55             = -1.41313e-20     +/- 1.015e-21    (7.184%)
M65             = 5.13543e-22      +/- 1.099e-21    (214%)
Q15             = -0.0153374       +/- 0.006238     (40.67%)
Q25             = 0.00529693       +/- 0.007528     (142.1%)
Q35             = -0.00167153      +/- 0.01971      (1179%)
Q45             = 0.0563463        +/- 0.0002618    (0.4646%)
Q55             = 0.0991849        +/- 0.007532     (7.594%)
Q65             = 0.00203294       +/- 0.004177     (205.5%)
