M12             = 6.66059e-21      +/- 1.105e-21    (16.59%)
M22             = 4.1606e-21       +/- 3.53e-22     (8.485%)
M32             = 2.56241e-21      +/- 2.256e-22    (8.806%)
M42             = 2.65627e-22      +/- 2.391e-23    (9.003%)
M52             = 1.01824e-21      +/- 9.671e-23    (9.498%)
M62             = 4.6042e-21       +/- 6.136e-22    (13.33%)
Q12             = -0.0129883       +/- 0.002236     (17.22%)
Q22             = -0.110965        +/- 0.003793     (3.418%)
Q32             = -0.0428613       +/- 0.003474     (8.105%)
Q42             = 0.000169414      +/- 0.0008385    (495%)
Q52             = -0.00734119      +/- 0.0007187    (9.791%)
Q62             = -0.0155859       +/- 0.003274     (21.01%)
