M12             = 3.13996e-21      +/- 9.711e-22    (30.93%)
M22             = 4.1613e-21       +/- 4.242e-22    (10.19%)
M32             = 2.59747e-21      +/- 3.014e-22    (11.6%)
M42             = 3.01043e-22      +/- 1.318e-23    (4.378%)
M52             = 1.14219e-21      +/- 5.32e-23     (4.658%)
M62             = 4.16147e-21      +/- 5.848e-22    (14.05%)
Q12             = 0.00356895       +/- 0.004644     (130.1%)
Q22             = -0.110242        +/- 0.005219     (4.734%)
Q32             = -0.0431322       +/- 0.004604     (10.67%)
Q42             = 0.000192001      +/- 0.0006043    (314.7%)
Q52             = -0.00865129      +/- 0.0004361    (5.041%)
Q62             = -0.0205553       +/- 0.004944     (24.05%)
