M11             = 3.61132e-20      +/- 5.815e-21    (16.1%)
M21             = 1.14574e-21      +/- 2.258e-22    (19.71%)
M31             = 3.51513e-22      +/- 4.437e-22    (126.2%)
M41             = 4.42711e-23      +/- 1.884e-23    (42.55%)
M51             = -2.21356e-22     +/- 1.357e-22    (61.32%)
M61             = -6.10941e-21     +/- 1.163e-21    (19.04%)
Q11             = -0.166984        +/- 0.01689      (10.12%)
Q21             = -0.0116894       +/- 0.0009983    (8.54%)
Q31             = -0.0059859       +/- 0.007587     (126.7%)
Q41             = 2.26129e-10      +/- 0.0001597    (7.063e+07%)
Q51             = 0.000564708      +/- 0.001118     (198%)
Q61             = -0.0339388       +/- 0.0002795    (0.8235%)
