M11             = 3.63767e-20      +/- 5.894e-21    (16.2%)
M21             = 1.1305e-21       +/- 2.72e-22     (24.06%)
M31             = 2.43845e-22      +/- 3.521e-22    (144.4%)
M41             = -8.85426e-24     +/- 4.038e-23    (456.1%)
M51             = 4.42711e-23      +/- 1.098e-22    (248%)
M61             = -6.09169e-21     +/- 1.245e-21    (20.44%)
Q11             = -0.162172        +/- 0.01424      (8.78%)
Q21             = -0.0120508       +/- 0.0003435    (2.851%)
Q31             = -0.00415624      +/- 0.006011     (144.6%)
Q41             = -0.000225882     +/- 0.000436     (193%)
Q51             = -0.00137788      +/- 0.0008013    (58.16%)
Q61             = -0.0344809       +/- 0.000849     (2.462%)
