M16             = 9.5047e-20       +/- 3.161e-20    (33.26%)
M26             = 1.48751e-21      +/- 8.707e-22    (58.53%)
M36             = -2.01743e-21     +/- 1.833e-21    (90.87%)
M46             = -8.85422e-23     +/- 3.387e-22    (382.6%)
M56             = 5.31253e-22      +/- 1.149e-21    (216.2%)
M66             = -1.23516e-20     +/- 4.45e-21     (36.03%)
Q16             = -0.41201         +/- 0.08873      (21.53%)
Q26             = -0.0345601       +/- 0.01669      (48.3%)
Q36             = 0.0338259        +/- 0.03095      (91.49%)
Q46             = -0.00101647      +/- 0.001757     (172.8%)
Q56             = -0.00474354      +/- 0.008785     (185.2%)
Q66             = -0.127228        +/- 0.02488      (19.55%)
