M16             = 1.663e-19        +/- 6.907e-20    (41.54%)
M26             = 2.87425e-21      +/- 1.738e-21    (60.48%)
M36             = -2.51273e-21     +/- 1.893e-21    (75.34%)
M46             = -5.31251e-23     +/- 3.421e-22    (643.9%)
M56             = 8.14586e-22      +/- 1.346e-21    (165.2%)
M66             = -2.22683e-20     +/- 9.99e-21     (44.86%)
Q16             = -0.446072        +/- 0.1051       (23.57%)
Q26             = -0.0387388       +/- 0.01849      (47.73%)
Q36             = 0.0406701        +/- 0.03099      (76.21%)
Q46             = -0.00178447      +/- 0.001508     (84.52%)
Q56             = -0.00117458      +/- 0.008284     (705.3%)
Q66             = -0.13859         +/- 0.02599      (18.76%)
