M15             = 4.64404e-22      +/- 7.663e-21    (1650%)
M25             = 1.64246e-22      +/- 1.215e-22    (74%)
M35             = 1.18912e-21      +/- 1.266e-21    (106.4%)
M45             = 4.82555e-21      +/- 1.884e-23    (0.3904%)
M55             = -1.12891e-20     +/- 3.231e-22    (2.862%)
M65             = -5.75525e-22     +/- 1.132e-21    (196.7%)
Q15             = 0.00197647       +/- 0.03526      (1784%)
Q25             = 0.00378354       +/- 0.0009983    (26.38%)
Q35             = -0.0181271       +/- 0.01793      (98.91%)
Q45             = -0.0633036       +/- 0.001717     (2.712%)
Q55             = 0.079906         +/- 0.002596     (3.248%)
Q65             = 0.00694589       +/- 0.009384     (135.1%)
