M15             = -7.07192e-22     +/- 7.453e-21    (1054%)
M25             = 2.24277e-22      +/- 2.48e-22     (110.6%)
M35             = 7.17896e-22      +/- 1.996e-21    (278%)
M45             = 5.44533e-21      +/- 1.654e-22    (3.037%)
M55             = -1.37683e-20     +/- 6.316e-22    (4.588%)
M65             = -3.80729e-22     +/- 1.243e-21    (326.5%)
Q15             = 0.0065619        +/- 0.03131      (477.1%)
Q25             = -0.000553412     +/- 0.002403     (434.3%)
Q35             = -0.0101308       +/- 0.0266       (262.6%)
Q45             = -0.0641844       +/- 0.00166      (2.586%)
Q55             = 0.0947237        +/- 0.003824     (4.037%)
Q65             = 0.00683294       +/- 0.008361     (122.4%)
