M12             = -6.2232e-21      +/- 2.483e-21    (39.9%)
M22             = 3.56294e-21      +/- 3.272e-22    (9.184%)
M32             = 2.14228e-21      +/- 7.139e-22    (33.32%)
M42             = 8.85424e-23      +/- 3.087e-23    (34.87%)
M52             = -3.9844e-22      +/- 1.81e-23     (4.542%)
M62             = -1.77085e-21     +/- 7.876e-22    (44.48%)
Q12             = 0.0416189        +/- 0.008825     (21.2%)
Q22             = -0.113901        +/- 0.001877     (1.648%)
Q32             = -0.0363671       +/- 0.01198      (32.94%)
Q42             = 0.000734119      +/- 0.0003594    (48.95%)
Q52             = 0.00355766       +/- 0.0002795    (7.857%)
Q62             = 0.0192565        +/- 0.002835     (14.72%)
