M12             = -4.54955e-21     +/- 1.753e-21    (38.54%)
M22             = 3.54929e-21      +/- 3.791e-22    (10.68%)
M32             = 2.36982e-21      +/- 7.337e-22    (30.96%)
M42             = 1.0625e-22       +/- 3.917e-23    (36.86%)
M52             = -3.98439e-22     +/- 1.06e-22     (26.6%)
M62             = -2.03646e-21     +/- 7.408e-22    (36.37%)
Q12             = 0.0336225        +/- 0.005341     (15.88%)
Q22             = -0.110693        +/- 0.003407     (3.078%)
Q32             = -0.0396649       +/- 0.01206      (30.39%)
Q42             = 0.000146822      +/- 0.0003772    (256.9%)
Q52             = 0.00333176       +/- 0.000865     (25.96%)
Q62             = 0.017856         +/- 0.004056     (22.71%)
