M14             = -4.63164e-21     +/- 7.772e-20    (1678%)
M24             = -1.98954e-21     +/- 1.022e-20    (513.7%)
M34             = -2.3933e-21      +/- 7.589e-21    (317.1%)
M44             = 1.50522e-20      +/- 1.966e-21    (13.06%)
M54             = -3.46643e-20     +/- 6.376e-21    (18.39%)
M64             = 3.3646e-21       +/- 2.596e-20    (771.4%)
Q14             = -0.00191998      +/- 0.2284       (1.19e+04%)
Q24             = 0.0270495        +/- 0.09691      (358.3%)
Q34             = 0.0251295        +/- 0.09771      (388.8%)
Q44             = -0.171332        +/- 0.006868     (4.009%)
Q54             = 0.191379         +/- 0.04109      (21.47%)
Q64             = -0.0164894       +/- 0.06229      (377.8%)
