M14             = 2.41561e-21      +/- 2.471e-20    (1023%)
M24             = -6.19615e-22     +/- 3.25e-21     (524.5%)
M34             = 7.65359e-22      +/- 4.075e-21    (532.5%)
M44             = 1.27855e-20      +/- 8.821e-22    (6.899%)
M54             = -4.92205e-20     +/- 4.28e-21     (8.695%)
M64             = 1.32813e-21      +/- 1.188e-20    (894.4%)
Q14             = -0.0116781       +/- 0.07426      (635.9%)
Q24             = 0.00276704       +/- 0.1407       (5086%)
Q34             = -0.00102778      +/- 0.048        (4670%)
Q44             = -0.128617        +/- 0.01277      (9.928%)
Q54             = 0.39587          +/- 0.05311      (13.42%)
Q64             = -0.017664        +/- 0.1593       (901.8%)
