M13             = -2.89041e-20     +/- 2.488e-21    (8.608%)
M23             = -3.42746e-21     +/- 2.477e-22    (7.227%)
M33             = 2.57348e-21      +/- 4.866e-22    (18.91%)
M43             = 4.42709e-23      +/- 5.926e-23    (133.9%)
M53             = -8.85416e-23     +/- 1.477e-22    (166.8%)
M63             = 1.0448e-20       +/- 7.876e-22    (7.539%)
Q13             = 0.0993882        +/- 0.004632     (4.661%)
Q23             = 0.00666353       +/- 0.0007986    (11.98%)
Q33             = -0.0438212       +/- 0.007986     (18.22%)
Q43             = -0.000959999     +/- 0.0001198    (12.48%)
Q53             = 0.00129882       +/- 0.001078     (83.01%)
Q63             = -0.0520659       +/- 0.001278     (2.454%)
