M13             = -3.27808e-20     +/- 4.731e-21    (14.43%)
M23             = -3.69893e-21     +/- 4.326e-22    (11.69%)
M33             = 2.60464e-21      +/- 4.211e-22    (16.17%)
M43             = 1.15104e-22      +/- 5.411e-23    (47.01%)
M53             = -3.18751e-22     +/- 9.31e-23     (29.21%)
M63             = 1.14927e-20      +/- 1.434e-21    (12.47%)
Q13             = 0.109688         +/- 0.01009      (9.2%)
Q23             = 0.00603104       +/- 0.0005435    (9.012%)
Q33             = -0.0440244       +/- 0.006742     (15.31%)
Q43             = -0.00145694      +/- 0.0007687    (52.76%)
Q53             = 0.00315105       +/- 0.0006016    (19.09%)
Q63             = -0.0525853       +/- 0.001561     (2.969%)
