M16             = -3.22515e-21     +/- 9.521e-21    (295.2%)
M26             = -8.00422e-22     +/- 5.803e-21    (725%)
M36             = -2.28377e-20     +/- 8.186e-20    (358.5%)
M46             = -3.12997e-20     +/- 4.881e-21    (15.59%)
M56             = 7.61463e-21      +/- 2.58e-20     (338.8%)
M66             = 1.39897e-20      +/- 1.436e-21    (10.26%)
Q16             = 0.0389648        +/- 0.07882      (202.3%)
Q26             = 0.0061553        +/- 0.07311      (1188%)
Q36             = 0.0573742        +/- 0.2656       (463%)
Q46             = 0.17472          +/- 0.02899      (16.59%)
Q56             = -0.0119718       +/- 0.05215      (435.6%)
Q66             = -0.166137        +/- 0.004472     (2.692%)
