M16             = -1.03674e-21     +/- 3.2e-21      (308.7%)
M26             = -7.14003e-22     +/- 2.086e-21    (292.2%)
M36             = -1.19889e-20     +/- 2.618e-20    (218.3%)
M46             = -3.86663e-20     +/- 2.65e-21     (6.854%)
M56             = 4.28543e-21      +/- 9.487e-21    (221.4%)
M66             = 1.36001e-20      +/- 6.224e-22    (4.576%)
Q16             = -0.00623437      +/- 0.1272       (2041%)
Q26             = 0.00863999       +/- 0.04691      (542.9%)
Q36             = 0.0378353        +/- 0.08781      (232.1%)
Q46             = 0.304331         +/- 0.03372      (11.08%)
Q56             = -0.0242146       +/- 0.1147       (473.8%)
Q66             = -0.1646          +/- 0.002277     (1.383%)
