M15             = 1.58889e-21      +/- 1.041e-21    (65.54%)
M25             = -2.31538e-21     +/- 5.721e-22    (24.71%)
M35             = 9.33784e-20      +/- 3.463e-20    (37.08%)
M45             = 2.34637e-21      +/- 4.983e-22    (21.24%)
M55             = -1.28829e-20     +/- 5.484e-21    (42.56%)
M65             = -3.9844e-22      +/- 1.523e-22    (38.22%)
Q15             = -0.0264283       +/- 0.0119       (45.03%)
Q25             = 0.0387954        +/- 0.009304     (23.98%)
Q35             = -0.422457        +/- 0.107        (25.32%)
Q45             = -0.0223624       +/- 0.001837     (8.214%)
Q55             = -0.119944        +/- 0.02252      (18.78%)
Q65             = -0.00468707      +/- 0.002036     (43.45%)
