M15             = 2.83007e-21      +/- 1.784e-21    (63.05%)
M25             = -2.92348e-21     +/- 1.39e-21     (47.53%)
M35             = 1.64865e-19      +/- 7.186e-20    (43.59%)
M45             = -4.91408e-21     +/- 3.629e-21    (73.86%)
M55             = -2.20735e-20     +/- 1.051e-20    (47.62%)
M65             = 1.10678e-21      +/- 6.647e-22    (60.06%)
Q15             = -0.0385807       +/- 0.01598      (41.41%)
Q25             = 0.0500893        +/- 0.02103      (41.99%)
Q35             = -0.45112         +/- 0.1218       (27%)
Q45             = 0.0103906        +/- 0.01384      (133.2%)
Q55             = -0.140453        +/- 0.02774      (19.75%)
Q65             = -0.0084367       +/- 0.001216     (14.41%)
