M12             = -3.41773e-21     +/- 2.979e-22    (8.715%)
M22             = 3.32299e-21      +/- 1.395e-22    (4.198%)
M32             = -3.1815e-20      +/- 2.633e-21    (8.275%)
M42             = -4.86983e-22     +/- 2.026e-23    (4.16%)
M52             = 1.06693e-20      +/- 9.131e-22    (8.558%)
M62             = 8.85423e-23      +/- 5.251e-24    (5.93%)
Q12             = 0.00768002       +/- 7.987e-05    (1.04%)
Q22             = -0.0561884       +/- 0.001797     (3.198%)
Q32             = 0.125083         +/- 0.003953     (3.161%)
Q42             = 0.0055906        +/- 0.0004392    (7.857%)
Q52             = -0.0454025       +/- 0.001997     (4.398%)
Q62             = 0.000451766      +/- 0.0001597    (35.36%)
