M12             = -3.64368e-21     +/- 4.264e-22    (11.7%)
M22             = 3.34016e-21      +/- 1.529e-22    (4.579%)
M32             = -3.33924e-20     +/- 3.856e-21    (11.55%)
M42             = -3.45314e-22     +/- 4.726e-23    (13.69%)
M52             = 1.12891e-20      +/- 1.301e-21    (11.52%)
M62             = 8.8542e-23       +/- 2.144e-24    (2.421%)
Q12             = 0.00822211       +/- 0.0002658    (3.233%)
Q22             = -0.0563689       +/- 0.001857     (3.295%)
Q32             = 0.126505         +/- 0.006187     (4.89%)
Q42             = 0.00414494       +/- 0.0005971    (14.41%)
Q52             = -0.0474127       +/- 0.002352     (4.962%)
Q62             = -0.000474353     +/- 0.0003372    (71.09%)
