M14             = -1.92579e-22     +/- 6.375e-22    (331%)
M24             = -7.6589e-23      +/- 7.997e-22    (1044%)
M34             = 1.90809e-22      +/- 9.903e-21    (5190%)
M44             = -1.05365e-20     +/- 3.472e-23    (0.3295%)
M54             = 1.77084e-22      +/- 2.447e-21    (1382%)
M64             = 4.47138e-21      +/- 2.719e-23    (0.608%)
Q14             = 0.00508236       +/- 0.001198     (23.57%)
Q24             = 0.00310589       +/- 0.01042      (335.6%)
Q34             = -0.00152471      +/- 0.04309      (2826%)
Q44             = 0.0775342        +/- 0.0001997    (0.2575%)
Q54             = -0.00259765      +/- 0.0007188    (27.67%)
Q64             = -0.0563013       +/- 0.0007587    (1.348%)
