M14             = 9.65051e-24      +/- 8.181e-22    (8478%)
M24             = 1.2611e-21       +/- 2.072e-21    (164.3%)
M34             = 9.5403e-22       +/- 1.181e-20    (1238%)
M44             = -1.49105e-20     +/- 1.399e-21    (9.381%)
M54             = -2.12498e-22     +/- 2.957e-21    (1392%)
M64             = 5.587e-21        +/- 3.373e-22    (6.037%)
Q14             = 0.00212329       +/- 0.00313      (147.4%)
Q24             = -0.0148969       +/- 0.026        (174.5%)
Q34             = -0.00168278      +/- 0.04609      (2739%)
Q44             = 0.104256         +/- 0.008828     (8.468%)
Q54             = -0.000655057     +/- 0.0005824    (88.91%)
Q64             = -0.0570917       +/- 0.0009728    (1.704%)
