M13             = 8.50004e-22      +/- 1.382e-22    (16.26%)
M23             = -1.78855e-22     +/- 5.272e-23    (29.48%)
M33             = 3.09052e-20      +/- 3.328e-21    (10.77%)
M43             = 2.21355e-22      +/- 2.026e-23    (9.153%)
M53             = -4.91408e-21     +/- 6.627e-22    (13.49%)
M63             = 8.85421e-23      +/- 5.251e-24    (5.93%)
Q13             = -0.0111812       +/- 0.0002396    (2.143%)
Q23             = 0.00299294       +/- 0.0009184    (30.69%)
Q33             = -0.158343        +/- 0.008705     (5.497%)
Q43             = -0.00417882      +/- 0.0003993    (9.555%)
Q53             = -0.036367        +/- 0.0001597    (0.4392%)
Q63             = -0.00423529      +/- 0.0001997    (4.714%)
