M13             = 9.46336e-22      +/- 1.963e-22    (20.74%)
M23             = -4.78126e-23     +/- 4.817e-23    (100.7%)
M33             = 3.22386e-20      +/- 4.4e-21      (13.65%)
M43             = 2.39063e-22      +/- 2.215e-23    (9.265%)
M53             = -5.30366e-21     +/- 8.838e-22    (16.66%)
M63             = 1.77084e-23      +/- 2.764e-23    (156.1%)
Q13             = -0.0105035       +/- 0.0007311    (6.96%)
Q23             = 0.000756703      +/- 0.0008317    (109.9%)
Q33             = -0.158095        +/- 0.01078      (6.816%)
Q43             = -0.00388517      +/- 0.0002809    (7.23%)
Q53             = -0.0342663       +/- 0.0005905    (1.723%)
Q63             = -0.00233788      +/- 0.0005803    (24.82%)
