M16             = 9.03144e-23      +/- 1.013e-21    (1122%)
M26             = -2.1591e-21      +/- 3.168e-21    (146.7%)
M36             = -3.13439e-22     +/- 9.824e-23    (31.34%)
M46             = 6.64066e-22      +/- 1.155e-22    (17.39%)
M56             = 4.737e-21        +/- 4.268e-23    (0.9011%)
M66             = -1.15105e-20     +/- 1.079e-22    (0.9376%)
Q16             = -0.00321884      +/- 0.01362      (423%)
Q26             = 0.00734116       +/- 0.01621      (220.8%)
Q36             = 0.00592941       +/- 0.0006788    (11.45%)
Q46             = -0.000847074     +/- 0.0101       (1193%)
Q56             = -0.0587859       +/- 0.001797     (3.057%)
Q66             = 0.0823906        +/- 0.001877     (2.278%)
