M16             = 7.00012e-22      +/- 1.769e-21    (252.8%)
M26             = -2.89311e-21     +/- 4.639e-21    (160.3%)
M36             = -3.43897e-22     +/- 1.033e-22    (30.04%)
M46             = 8.23441e-22      +/- 6.72e-22     (81.6%)
M56             = 5.23283e-21      +/- 1.839e-22    (3.515%)
M66             = -1.33875e-20     +/- 8.658e-22    (6.467%)
Q16             = -0.010944        +/- 0.02311      (211.2%)
Q26             = 0.0107068        +/- 0.01938      (181.1%)
Q36             = 0.0057487        +/- 0.0007404    (12.88%)
Q46             = -0.00107294      +/- 0.007599     (708.2%)
Q56             = -0.0600959       +/- 0.001142     (1.9%)
Q66             = 0.0932328        +/- 0.007175     (7.696%)
