M15             = -6.06514e-23     +/- 7.187e-21    (1.185e+04%)
M25             = -3.35487e-20     +/- 7.097e-20    (211.6%)
M35             = -3.93216e-21     +/- 1.073e-20    (272.8%)
M45             = 1.04037e-20      +/- 2.56e-20     (246%)
M55             = 1.66902e-20      +/- 1.169e-21    (7.004%)
M65             = -4.01539e-20     +/- 3.555e-21    (8.855%)
Q15             = -0.0128188       +/- 0.08286      (646.4%)
Q25             = 0.0845931        +/- 0.1905       (225.3%)
Q35             = 0.0369318        +/- 0.1085       (293.9%)
Q45             = -0.0110118       +/- 0.06968      (632.8%)
Q55             = -0.174043        +/- 0.003594     (2.065%)
Q65             = 0.227407         +/- 0.009623     (4.232%)
