M15             = 2.13298e-22      +/- 3.883e-21    (1820%)
M25             = -1.29746e-20     +/- 2.306e-20    (177.8%)
M35             = -9.69709e-22     +/- 3.48e-21     (358.9%)
M45             = 4.22345e-21      +/- 1.217e-20    (288.1%)
M55             = 1.30776e-20      +/- 9.794e-22    (7.489%)
M65             = -5.02653e-20     +/- 2.768e-21    (5.506%)
Q15             = -0.00789457      +/- 0.04579      (580%)
Q25             = 0.0406361        +/- 0.06127      (150.8%)
Q35             = -0.00487908      +/- 0.137        (2807%)
Q45             = -0.020544        +/- 0.1563       (760.6%)
Q55             = -0.124687        +/- 0.0124       (9.941%)
Q65             = 0.408135         +/- 0.04586      (11.24%)
