M12             = -3.50184e-22     +/- 1.647e-22    (47.03%)
M22             = 3.25609e-20      +/- 3.038e-21    (9.329%)
M32             = 7.42426e-22      +/- 6.61e-23     (8.904%)
M42             = -4.69273e-21     +/- 4.591e-22    (9.784%)
M52             = 2.65626e-22      +/- 1.148e-22    (43.21%)
M62             = -5.75523e-22     +/- 5.769e-22    (100.2%)
Q12             = 0.00587294       +/- 0.002715     (46.23%)
Q22             = -0.154447        +/- 0.007068     (4.576%)
Q32             = -0.0147388       +/- 0.000599     (4.064%)
Q42             = -0.0430871       +/- 0.001957     (4.541%)
Q52             = -0.00344471      +/- 0.0003594    (10.43%)
Q62             = 0.00502588       +/- 0.004911     (97.72%)
