M12             = -1.4512e-22      +/- 7.93e-23     (54.64%)
M22             = 3.40363e-20      +/- 4.455e-21    (13.09%)
M32             = 6.79913e-22      +/- 1.136e-22    (16.71%)
M42             = -4.83439e-21     +/- 6.959e-22    (14.4%)
M52             = 1.94792e-22      +/- 1.223e-22    (62.77%)
M62             = -5.57813e-22     +/- 7.015e-22    (125.8%)
Q12             = 0.00246211       +/- 0.001297     (52.69%)
Q22             = -0.155825        +/- 0.01024      (6.572%)
Q32             = -0.0120734       +/- 0.0009545    (7.906%)
Q42             = -0.0438776       +/- 0.002182     (4.974%)
Q52             = -0.00186353      +/- 0.001114     (59.79%)
Q62             = 0.0041901        +/- 0.005931     (141.5%)
