M14             = -3.96314e-21     +/- 1.155e-21    (29.14%)
M24             = 1.03269e-19      +/- 2.969e-20    (28.75%)
M34             = 1.7704e-21       +/- 5.563e-22    (31.42%)
M44             = -1.42553e-20     +/- 3.902e-21    (27.38%)
M54             = 2.21356e-22      +/- 5.841e-22    (263.9%)
M64             = -1.77089e-22     +/- 3.112e-21    (1758%)
Q14             = 0.0664094        +/- 0.01885      (28.38%)
Q24             = -0.438607        +/- 0.07152      (16.31%)
Q34             = -0.0277271       +/- 0.01018      (36.72%)
Q44             = -0.125421        +/- 0.02448      (19.52%)
Q54             = -0.00604235      +/- 0.003474     (57.49%)
Q64             = -0.00254114      +/- 0.02655      (1045%)
