M14             = -3.94579e-21     +/- 1.735e-21    (43.97%)
M24             = 1.49199e-19      +/- 5.555e-20    (37.23%)
M34             = 2.18229e-21      +/- 1.036e-21    (47.48%)
M44             = -1.91251e-20     +/- 7.178e-21    (37.53%)
M54             = 2.7448e-22       +/- 3.899e-22    (142%)
M64             = -1.22188e-21     +/- 2.09e-21     (171.1%)
Q14             = 0.0638569        +/- 0.02759      (43.21%)
Q24             = -0.437725        +/- 0.08834      (20.18%)
Q34             = -0.0327868       +/- 0.01341      (40.9%)
Q44             = -0.138183        +/- 0.02823      (20.43%)
Q54             = -0.00297035      +/- 0.001634     (55.01%)
Q64             = 0.000869645      +/- 0.01445      (1662%)
