M13             = 2.87274e-21      +/- 1.816e-22    (6.32%)
M23             = -3.0485e-21      +/- 7.328e-22    (24.04%)
M33             = 3.89452e-21      +/- 2.27e-22     (5.829%)
M43             = -2.65626e-21     +/- 3.34e-22     (12.57%)
M53             = -3.98439e-22     +/- 4.268e-23    (10.71%)
M63             = 6.64065e-22      +/- 7.693e-23    (11.59%)
Q13             = -0.0485646       +/- 0.002715     (5.591%)
Q23             = 0.0284047        +/- 0.002196     (7.732%)
Q33             = -0.117402        +/- 0.003474     (2.959%)
Q43             = 0.0199906        +/- 0.0007986    (3.995%)
Q53             = 0.00660705       +/- 0.001318     (19.94%)
Q63             = -0.00400941      +/- 0.001158     (28.88%)
