M13             = 2.83148e-21      +/- 3.552e-22    (12.55%)
M23             = -4.2679e-21      +/- 1.066e-21    (24.97%)
M33             = 3.79323e-21      +/- 2.974e-22    (7.84%)
M43             = -2.39063e-21     +/- 4.689e-22    (19.61%)
M53             = -2.7448e-22      +/- 5.717e-23    (20.83%)
M63             = 3.27604e-22      +/- 3.518e-22    (107.4%)
Q13             = -0.0475482       +/- 0.00554      (11.65%)
Q23             = 0.033487         +/- 0.003032     (9.055%)
Q33             = -0.114579        +/- 0.003828     (3.341%)
Q43             = 0.0204649        +/- 0.001852     (9.05%)
Q53             = 0.00547764       +/- 0.000868     (15.85%)
Q63             = -0.00145693      +/- 0.003229     (221.6%)
