M11             = -3.63541e-20     +/- 2.643e-20    (72.69%)
M21             = -1.05095e-20     +/- 1.117e-20    (106.2%)
M31             = -4.03575e-21     +/- 5.324e-21    (131.9%)
M41             = -1.41668e-21     +/- 5.642e-22    (39.83%)
M51             = -9.82819e-21     +/- 6.052e-21    (61.58%)
M61             = 2.65627e-21      +/- 1.618e-21    (60.9%)
Q11             = 0.907201         +/- 0.6661       (73.42%)
Q21             = 0.325441         +/- 0.3291       (101.1%)
Q31             = 0.085779         +/- 0.1649       (192.2%)
Q41             = 0.0873037        +/- 0.05263      (60.28%)
Q51             = 0.136151         +/- 0.05331      (39.15%)
Q61             = -0.0414495       +/- 0.01901      (45.86%)
