M16             = 1.93474e-20      +/- 3.362e-20    (173.8%)
M26             = 1.40225e-20      +/- 9.674e-21    (68.99%)
M36             = 1.03975e-20      +/- 3.028e-21    (29.12%)
M46             = 5.09118e-21      +/- 1.533e-21    (30.11%)
M56             = 5.40109e-21      +/- 8.87e-21     (164.2%)
M66             = 9.961e-21        +/- 5.468e-21    (54.9%)
Q16             = -0.533311        +/- 0.7661       (143.7%)
Q26             = -0.436067        +/- 0.3          (68.81%)
Q36             = -0.363672        +/- 0.06069      (16.69%)
Q46             = -0.156537        +/- 0.008865     (5.663%)
Q56             = -0.0585603       +/- 0.1184       (202.2%)
Q66             = -0.282128        +/- 0.07228      (25.62%)
