M12             = 1.99132e-21      +/- 1.039e-21    (52.2%)
M22             = 8.70328e-21      +/- 1.819e-22    (2.09%)
M32             = -2.84221e-21     +/- 8.081e-22    (28.43%)
M42             = 1.06251e-21      +/- 1.886e-22    (17.75%)
M52             = 2.16929e-21      +/- 5.74e-22     (26.46%)
M62             = -1.63804e-21     +/- 1.465e-22    (8.945%)
Q12             = -0.0160377       +/- 0.01493      (93.12%)
Q22             = -0.226561        +/- 0.01238      (5.464%)
Q32             = 0.122767         +/- 0.03258      (26.54%)
Q42             = -0.0476049       +/- 0.006669     (14.01%)
Q52             = -0.0672002       +/- 0.01573      (23.41%)
Q62             = 0.0320754        +/- 0.003833     (11.95%)
