M14             = -1.56485e-20     +/- 3.654e-21    (23.35%)
M24             = -1.77084e-22     +/- 1.001e-21    (565.3%)
M34             = -5.20186e-22     +/- 1.342e-21    (258.1%)
M44             = 5.62243e-21      +/- 1.558e-22    (2.771%)
M54             = -3.14325e-21     +/- 1.889e-21    (60.09%)
M64             = 4.91409e-21      +/- 2.716e-22    (5.528%)
Q14             = 0.283878         +/- 0.06872      (24.21%)
Q24             = -0.013553        +/- 0.02971      (219.2%)
Q34             = -0.0142871       +/- 0.06441      (450.8%)
Q44             = -0.149704        +/- 0.003155     (2.107%)
Q54             = 0.013553         +/- 0.0472       (348.3%)
Q64             = -0.0747107       +/- 0.005471     (7.322%)
