M13             = 7.70498e-21      +/- 2.52e-21     (32.71%)
M23             = -3.53376e-21     +/- 1.852e-21    (52.41%)
M33             = -9.99202e-22     +/- 6.419e-22    (64.24%)
M43             = -1.5495e-21      +/- 5.315e-22    (34.3%)
M53             = 5.79955e-21      +/- 1.263e-21    (21.77%)
M63             = -2.12502e-21     +/- 9.916e-22    (46.66%)
Q13             = -0.101648        +/- 0.04153      (40.86%)
Q23             = 0.0993894        +/- 0.048        (48.29%)
Q33             = 0.0975253        +/- 0.03326      (34.11%)
Q43             = 0.0404897        +/- 0.009943     (24.56%)
Q53             = -0.132029        +/- 0.02875      (21.78%)
Q63             = 0.0350119        +/- 0.01709      (48.81%)
